time,x_spalla,y_spalla,x_gomito,y_gomito,x_mano,y_mano
0.00,0.00,0.30,0.00,0.00,0.08,0.25
0.05,0.00,0.30,0.00,0.00,0.11,0.24
0.10,0.00,0.30,0.00,0.00,0.14,0.23
0.15,0.00,0.30,0.00,0.00,0.16,0.22
0.20,0.00,0.30,0.00,0.00,0.18,0.20
0.25,0.00,0.30,0.00,0.00,0.20,0.18
0.30,0.00,0.30,0.00,0.00,0.22,0.16
0.35,0.00,0.30,0.00,0.00,0.23,0.14
0.40,0.00,0.30,0.00,0.00,0.24,0.11
0.45,0.00,0.30,0.00,0.00,0.25,0.08
0.50,0.00,0.30,0.00,0.00,0.24,0.04
0.55,0.00,0.30,0.00,0.00,0.23,0.01
0.60,0.00,0.30,0.00,0.00,0.22,-0.02
0.65,0.00,0.30,0.00,0.00,0.20,-0.05
0.70,0.00,0.30,0.00,0.00,0.18,-0.08
0.75,0.00,0.30,0.00,0.00,0.16,-0.11
0.80,0.00,0.30,0.00,0.00,0.14,-0.13
0.85,0.00,0.30,0.00,0.00,0.11,-0.15
0.90,0.00,0.30,0.00,0.00,0.08,-0.17
0.95,0.00,0.30,0.00,0.00,0.04,-0.19
1.00,0.00,0.30,0.00,0.00,0.01,-0.20
1.05,0.00,0.30,0.00,0.00,0.04,-0.19
1.10,0.00,0.30,0.00,0.00,0.08,-0.17
1.15,0.00,0.30,0.00,0.00,0.11,-0.15
1.20,0.00,0.30,0.00,0.00,0.14,-0.13
1.25,0.00,0.30,0.00,0.00,0.16,-0.11
1.30,0.00,0.30,0.00,0.00,0.18,-0.08
1.35,0.00,0.30,0.00,0.00,0.20,-0.05
1.40,0.00,0.30,0.00,0.00,0.22,-0.02
1.45,0.00,0.30,0.00,0.00,0.23,0.01
1.50,0.00,0.30,0.00,0.00,0.24,0.04
1.55,0.00,0.30,0.00,0.00,0.25,0.08
1.60,0.00,0.30,0.00,0.00,0.24,0.11
1.65,0.00,0.30,0.00,0.00,0.23,0.14
1.70,0.00,0.30,0.00,0.00,0.22,0.16
1.75,0.00,0.30,0.00,0.00,0.20,0.18
1.80,0.00,0.30,0.00,0.00,0.18,0.20
1.85,0.00,0.30,0.00,0.00,0.16,0.22
1.90,0.00,0.30,0.00,0.00,0.14,0.23
1.95,0.00,0.30,0.00,0.00,0.11,0.24
2.00,0.00,0.30,0.00,0.00,0.08,0.25
2.05,0.00,0.30,0.00,0.00,0.11,0.24
2.10,0.00,0.30,0.00,0.00,0.14,0.23
2.15,0.00,0.30,0.00,0.00,0.16,0.22
2.20,0.00,0.30,0.00,0.00,0.18,0.20
2.25,0.00,0.30,0.00,0.00,0.20,0.18
2.30,0.00,0.30,0.00,0.00,0.22,0.16
2.35,0.00,0.30,0.00,0.00,0.23,0.14
2.40,0.00,0.30,0.00,0.00,0.24,0.11
2.45,0.00,0.30,0.00,0.00,0.25,0.08
2.50,0.00,0.30,0.00,0.00,0.24,0.04
2.55,0.00,0.30,0.00,0.00,0.23,0.01
2.60,0.00,0.30,0.00,0.00,0.22,-0.02
2.65,0.00,0.30,0.00,0.00,0.20,-0.05
2.70,0.00,0.30,0.00,0.00,0.18,-0.08
2.75,0.00,0.30,0.00,0.00,0.16,-0.11
2.80,0.00,0.30,0.00,0.00,0.14,-0.13
2.85,0.00,0.30,0.00,0.00,0.11,-0.15
2.90,0.00,0.30,0.00,0.00,0.08,-0.17
2.95,0.00,0.30,0.00,0.00,0.04,-0.19
3.00,0.00,0.30,0.00,0.00,0.01,-0.20
