time,x1,y1,x2,y2,x3,y3
0.00,0.0,0.0,0.3,0.0,0.55,0.0
0.01,0.0,0.0,0.299,0.01,0.548,0.022
0.02,0.0,0.0,0.298,0.02,0.541,0.044
0.03,0.0,0.0,0.297,0.03,0.532,0.065
0.04,0.0,0.0,0.296,0.04,0.521,0.085
0.05,0.0,0.0,0.295,0.05,0.509,0.104
0.06,0.0,0.0,0.294,0.06,0.495,0.122
0.07,0.0,0.0,0.293,0.07,0.480,0.139
0.08,0.0,0.0,0.292,0.08,0.464,0.154
0.09,0.0,0.0,0.291,0.09,0.447,0.168
0.10,0.0,0.0,0.290,0.10,0.429,0.180
0.11,0.0,0.0,0.289,0.11,0.410,0.191
0.12,0.0,0.0,0.288,0.12,0.390,0.200
0.13,0.0,0.0,0.287,0.13,0.369,0.207
0.14,0.0,0.0,0.286,0.14,0.347,0.213
0.15,0.0,0.0,0.285,0.15,0.324,0.217
0.16,0.0,0.0,0.284,0.16,0.300,0.220
0.17,0.0,0.0,0.283,0.17,0.275,0.221
0.18,0.0,0.0,0.282,0.18,0.249,0.221
0.19,0.0,0.0,0.281,0.19,0.222,0.219
